Server,Status,BeforeCHG_EnableDCOM,BeforeCHG_LegacyAuthenticationLevel,BEforeCHG_LegacyImpersonationLevel
CSN-BCN-XEN-02.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-APP-16.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-WEB-20.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-WEB-21.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-XEN-T16.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T17.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T18.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-APP-T21.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-XEN-T15.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-WAS-T04.bcn.tzghosting.net,-,-,-,Ping Failed
ABN-BCN-FHG-T08.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FXI-T18.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-T18.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FXI-T19.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-T19.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-T20.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FXI-T20.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FXI-T21.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-APP-13.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-APP-14.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-FHG-03.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-APP-12.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-APP-15.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-FXI-09.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-FXI-07.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-FXI-08.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-FXI-10.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-T17.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FXI-T16.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FXI-T17.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-T16.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FHG-T07.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-HPA-01.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-UTIL-01.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-APP-17.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-T22.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-D04.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-D05.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-D06.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-D03.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-D04.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-D05.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-D06.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAP-D02.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-IHM-D06.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-WEB-D03.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-WEB-D04.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-SQL-D06.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-SQL-D05.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-T04.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-T05.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-T06.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-T07.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-T08.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-T09.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-T10.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-T11.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-AFC-T12.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T25.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T30.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T26.bcn.tzghosting.net,No Change required,Y,2,2
