Server,RebootStatus
CSN-CMB-XEN-N4.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-N5.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-N6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-N7.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-N8.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-N9.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-O1.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-O2.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-O3.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-O4.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-O5.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-O6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-O7.CMB.tzghosting.net,Reboot Required
CSN-CMC-ADC-01.CMC.tzghosting.net,Reboot Not Required
CSN-CMC-CNV-01.CMC.tzghosting.net,Reboot Not Required
CSN-CMC-CSF-01.CMC.tzghosting.net,Reboot Not Required
CSN-CMC-CSF-02.CMC.tzghosting.net,Reboot Not Required
CSN-CMC-DC-01.CMC.tzghosting.net,Reboot Not Required
CSN-CMC-FHG-01.CMC.tzghosting.net,Reboot Not Required
CSN-CMC-IHM-01.CMC.tzghosting.net,Reboot Not Required
CSN-CMC-SQL-02.CMC.tzghosting.net,Reboot Not Required
CSN-CMC-SQL-99.CMC.tzghosting.net,Reboot Not Required
CSN-CMC-XEN-02.CMC.tzghosting.net,Reboot Not Required
CSN-COA-APP-01.custhsp.tzghosting.net,Reboot Required
CSN-COA-APP-02.custhsp.tzghosting.net,Reboot Required
CSN-COA-APP-03.custhsp.tzghosting.net,Reboot Required
CSN-COA-APP-04.custhsp.tzghosting.net,Reboot Required
CSN-COA-APP-05.custhsp.tzghosting.net,Reboot Required
CSN-COA-APP-47.COA.tzghosting.net,Reboot Required
CSN-COA-APP-51.COA.tzghosting.net,Reboot Required
CSN-COA-APP-52.COA.tzghosting.net,Reboot Required
CSN-COA-APP-53.COA.tzghosting.net,Reboot Required
CSN-COA-APP-54.COA.tzghosting.net,Reboot Required
CSN-COA-APP-55.COA.tzghosting.net,Reboot Not Required
CSN-COA-APP-58.COA.tzghosting.net,Reboot Required
CSN-COA-APP-63.custhsp.tzghosting.net,Reboot Required
CSN-COA-APP-64.custhsp.tzghosting.net,Reboot Required
CSN-COA-APP-65.custhsp.tzghosting.net,Reboot Required
CSN-COA-APP-66.custhsp.tzghosting.net,Reboot Required
CSN-COA-DC-01.COA.tzghosting.net,Reboot Required
CSN-COA-DC-02.COA.tzghosting.net,Reboot Required
CSN-COA-DFS-01.COA.tzghosting.net,Reboot Required
CSN-COA-HUB-01.custhsp.tzghosting.net,Reboot Required
CSN-COA-IHM-01.custhsp.tzghosting.net,Reboot Required
CSN-COA-SQL-01.custhsp.tzghosting.net,Reboot Required
CSN-COA-SQL-02.custhsp.tzghosting.net,Reboot Required
CSN-COA-SQL-03.custhsp.tzghosting.net,Reboot Required
CSN-COA-SQL-07.custhsp.tzghosting.net,Reboot Required
CSN-COA-SQL-09.COA.tzghosting.net,Reboot Required
CSN-COA-WAS-01.custhsp.tzghosting.net,Reboot Required
CSN-COA-WAS-02.custhsp.tzghosting.net,Reboot Required
CSN-COA-WEB-01.COA.tzghosting.net,Reboot Required
CSN-COA-XEN-01.COA.tzghosting.net,Reboot Required
CSN-COA-XEN-02.custhsp.tzghosting.net,Reboot Required
CSN-COA-ZDC-01.COA.tzghosting.net,Reboot Required
CSN-COA-ZDC-02.COA.tzghosting.net,Reboot Required
CSN-COA-ZDC-03.COA.tzghosting.net,Reboot Required
CSN-COV-APP-01.cust.tzghsp.net,Reboot Required
CSN-COV-APP-03.cust.tzghsp.net,Reboot Required
CSN-COV-APP-04.cust.tzghsp.net,Reboot Required
CSN-COV-APP-05.cust.tzghsp.net,Reboot Required
CSN-COV-APP-06.cust.tzghsp.net,Reboot Required
